X, Y, Z, Thresh, Prec, Max, Min, Total Steps 
130, 25, 41, 95, 52, 511, -321, 8
141, 16, 88, 95, 52, 511, -321, 8
149, 10, 150, 95, 52, 511, -321, 8
150, 5, 222, 95, 52, 511, -321, 8
146, -4, 293, 95, 52, 511, -321, 8
137, -25, 367, 95, 52, 511, -321, 8
120, -74, 431, 95, 52, 511, -321, 8
64, -136, 476, 95, 52, 511, -321, 8
-44, -199, 505, 95, 52, 511, -321, 8
-196, -252, 511, 95, 52, 511, -321, 8
-336, -260, 511, 95, 52, 511, -321, 8
-398, -228, 476, 95, 52, 511, -321, 8
-387, -172, 413, 95, 52, 511, -321, 8
-309, -98, 331, 95, 52, 511, -321, 8
-216, -34, 231, 95, 52, 511, -321, 8
-143, -10, 149, 95, 52, 511, -321, 8
-86, -15, 84, 95, 52, 511, -321, 8
-52, -35, 27, 95, 52, 511, -321, 8
-36, -59, -24, 95, 52, 511, -321, 8
-35, -73, -67, 95, 52, 511, -321, 8
-38, -76, -102, 95, 52, 511, -321, 8
-37, -73, -136, 95, 52, 511, -321, 8
-33, -62, -166, 95, 52, 511, -321, 8
-28, -43, -194, 95, 52, 511, -321, 8
-23, -23, -221, 95, 52, 511, -321, 8
-20, -5, -241, 95, 52, 511, -321, 8
-30, 5, -252, 95, 52, 511, -321, 8
-50, 7, -235, 95, 52, 511, -321, 8
-105, 16, -162, 95, 52, 511, -321, 8
-202, 30, -9, 95, 52, 511, -321, 8
-294, 35, 184, 95, 52, 511, -321, 8
-348, 43, 355, 95, 52, 511, -321, 8
-342, 101, 472, 95, 52, 511, -321, 8
-297, 189, 511, 95, 52, 511, -321, 8
-229, 245, 467, 95, 52, 511, -321, 8
-172, 250, 386, 95, 52, 511, -321, 8
-129, 163, 282, 95, 52, 511, -321, 8
-78, 34, 204, 95, 52, 511, -321, 8
-36, -37, 180, 95, 52, 511, -321, 8
8, -53, 188, 95, 52, 511, -321, 8
57, -34, 238, 95, 52, 511, -321, 8
112, -15, 295, 95, 52, 511, -321, 8
162, -11, 349, 95, 52, 511, -321, 8
204, -8, 384, 95, 52, 511, -321, 8
226, -8, 389, 95, 52, 511, -321, 8
231, -7, 373, 95, 52, 511, -321, 8
216, -8, 368, 95, 52, 511, -321, 8
170, -8, 398, 95, 52, 511, -321, 8
98, -8, 447, 95, 52, 511, -321, 8
5, -7, 484, 95, 52, 511, -321, 8
-112, -1, 503, 95, 52, 511, -321, 8
-223, -3, 511, 95, 52, 511, -321, 8
-304, -16, 506, 95, 52, 511, -321, 8
-331, -27, 471, 95, 52, 511, -321, 8
-298, -36, 400, 95, 52, 511, -321, 8
-231, -38, 302, 95, 52, 511, -321, 8
-149, -35, 188, 95, 52, 511, -321, 8
-83, -46, 83, 95, 52, 511, -321, 8
-46, -76, 7, 95, 52, 511, -321, 8
-34, -113, -34, 95, 52, 511, -321, 8
-49, -127, -53, 95, 52, 511, -321, 8
-87, -98, -69, 95, 52, 511, -321, 8
-128, -34, -106, 95, 52, 511, -321, 8
-151, 30, -158, 95, 52, 511, -321, 8
-170, 60, -211, 95, 52, 511, -321, 8
-175, 42, -240, 95, 52, 511, -321, 8
-173, -3, -236, 95, 52, 511, -321, 8
-187, -42, -212, 95, 52, 511, -321, 8
-219, -62, -183, 95, 52, 511, -321, 8
-291, -75, -129, 95, 52, 511, -321, 8
-373, -81, 52, 95, 52, 511, -321, 8
-447, -39, 220, 95, 52, 511, -321, 8
-481, 23, 380, 95, 52, 511, -321, 8
-432, 90, 511, 95, 52, 511, -321, 8
-335, 151, 511, 95, 52, 511, -321, 8
-207, 160, 510, 95, 52, 511, -321, 8
-92, 141, 489, 95, 52, 511, -321, 8
3, 126, 440, 95, 52, 511, -321, 8
75, 110, 359, 95, 52, 511, -321, 8
117, 82, 273, 95, 52, 511, -321, 8
161, 52, 204, 95, 52, 511, -321, 8
178, 19, 164, 95, 52, 511, -321, 8
183, 6, 149, 95, 52, 511, -321, 8
190, 17, 126, 95, 52, 511, -321, 8
