X,Y,Z
-20,-20,-166
-79,10,-129
-179,23,-17
-271,-24,278
-367,-160,511
-437,-267,511
-387,-222,511
-251,-48,511
-141,108,390
-157,65,251
-29,49,260
25,72,204
52,91,116
85,63,67
138,-9,30
174,-56,34
174,-61,59
141,-52,86
112,-46,103
93,-45,132
98,-43,161
85,-38,184
25,-39,240
-45,-43,344
-123,-86,471
-226,-149,511
-362,-214,511
-469,-236,511
-416,-167,432
-282,-101,220
-189,-69,109
-130,-44,51
-93,-30,21
-64,-10,-3
-38,6,-38
-25,17,-51
-15,17,-57
-10,16,-68
-13,12,-78
-35,1,-85
-82,-15,-100
-125,-28,-74
-177,-26,11
-309,2,96
-439,-12,219
-501,-77,424
-481,-141,511
-366,-207,511
-228,-143,509
-156,-41,332
-115,43,252
-67,85,250
-26,62,272
2,30,293
26,29,289
41,25,234
55,28,158
73,21,90
100,15,45
122,9,14
133,-3,11
130,-24,44
128,-34,104
106,-49,189
91,-68,280
-87,-13,118
-57,5,84
-36,15,62
-27,25,33
-23,35,-21
-20,34,-75
-8,26,-129
2,16,-172
4,-1,-188
-2,-16,-183
-20,-20,-166
-79,10,-129
-179,23,-17
-271,-24,278
-367,-160,511
-437,-267,511
-387,-222,511
-251,-48,511
-141,108,390
-157,65,251
-29,49,260
25,72,204
52,91,116
85,63,67
138,-9,30
174,-56,34
174,-61,59
141,-52,86
112,-46,103
93,-45,132
98,-43,161
85,-38,184
25,-39,240
-45,-43,344
-123,-86,471
-226,-149,511
-362,-214,511
-469,-236,511
-416,-167,432
-282,-101,220
-189,-69,109
-130,-44,51
-93,-30,21
-64,-10,-3
-38,6,-38
-25,17,-51
-15,17,-57
-10,16,-68
-13,12,-78
-35,1,-85
-82,-15,-100
-125,-28,-74
-177,-26,11
-309,2,96
-439,-12,219
-501,-77,424
-481,-141,511
-366,-207,511
-228,-143,509
-156,-41,332
-115,43,252
-67,85,250
-26,62,272
2,30,293
26,29,289
41,25,234
55,28,158
73,21,90
100,15,45
122,9,14
133,-3,11
130,-24,44
128,-34,104
106,-49,189
91,-68,280
51,-98,443
-70,-135,511
-229,-167,511
-318,-161,511
-321,-142,511
-270,-120,353
-216,-53,160
-164,-26,98
-128,-34,76
-103,-23,36
-76,-17,-4
-66,-7,-7
-64,-16,-4
-48,-10,2
-41,-15,-23
-29,-3,-54
-27,7,-74
-42,0,-61
-62,-29,-23
-87,-41,34
-142,-11,38
-254,-20,50
-308,-69,208
-362,-107,407
-394,-185,482
-368,-185,511
-343,-96,511
-270,-2,511
-191,57,468
-121,81,340
-66,95,282
-51,34,230
3,-12,188
65,2,137
80,-8,75
108,-12,55
129,-15,83
133,-23,129
146,-39,137
151,-47,159
126,-44,220
85,-26,282
42,-27,337
-12,-73,468
-118,-110,511
-233,-88,511
-284,-70,511
-286,-65,486
-277,-64,355
-238,-64,253
-368,-185,511
-343,-96,511
-270,-2,511
-191,57,468
-121,81,340
-66,95,282
-51,34,230
3,-12,188
65,2,137
80,-8,75
108,-12,55
129,-15,83
133,-23,129
146,-39,137
151,-47,159
126,-44,220
85,-26,282
42,-27,337
-12,-73,468
-118,-110,511
-233,-88,511
-284,-70,511
-286,-65,486
-277,-64,355
-238,-64,253
-199,-47,190
-144,-13,143
-116,4,128
-90,1,128
-72,-20,118
-64,-41,99
-62,-48,61
-63,-35,12
-58,-6,-23
-72,7,-127
-88,5,-177
-106,-33,-159
-104,-46,-110
-155,-23,-126
-255,-19,-68
-402,-26,107
-512,-30,437
-512,-38,511
-348,-57,511
-201,-26,511
-116,46,511
-44,113,447
-6,106,393
13,76,321
45,63,259
-368,-185,511
-343,-96,511
-270,-2,511
-191,57,468
-121,81,340
-66,95,282
-51,34,230
3,-12,188
65,2,137
80,-8,75
108,-12,55
129,-15,83
133,-23,129
146,-39,137
151,-47,159
126,-44,220
85,-26,282
42,-27,337
-12,-73,468
-118,-110,511
-233,-88,511
-284,-70,511
-286,-65,486
-277,-64,355
