X,Y,Z
-190,-27,159
-128,-14,116
-108,-20,97
-77,-41,54
-67,-52,8
-63,-55,-49
-62,-50,-101
-60,-40,-151
-50,-38,-185
-48,-39,-216
-63,-35,-222
-84,-36,-197
-108,-42,-136
-110,-18,-93
-133,13,-59
-185,41,197
-315,100,511
-279,63,511
-156,-39,511
-95,-53,511
-108,51,456
-106,79,248
-83,62,188
-60,5,171
-64,-30,220
-1,-39,225
52,-41,184
79,-54,175
92,-51,186
86,-29,243
95,-7,263
95,3,224
76,4,223
35,2,305
18,-22,375
-13,-81,511
-111,-71,511
-195,-105,511
-281,-108,511
-299,-58,511
-251,-41,384
-187,-38,230
-144,-35,107
-112,-41,-12
-97,-79,-103
-91,-106,-149
-88,-111,-163
-92,-102,-177
-89,-79,-194
-80,-66,-189
-95,-43,-194
-141,-5,-201
-165,10,-156
-159,12,-62
-197,32,38
-278,63,250
-294,108,487
-250,117,511
-218,89,511
-175,68,511
-140,69,511
-71,73,511
-1,86,392
39,93,244
52,64,131
46,55,159
92,52,185
43,-4,234
170,-1,185
167,-59,116
153,-49,70
140,28,92
91,77,156
61,88,230
35,76,322
-25,73,420
-49,51,511
-160,60,511
-266,68,511
-323,31,511
-310,0,511
-260,-31,422
-112,-74,188
-92,-56,49
-77,-64,-24
-71,-63,-72
-85,-52,-112
-93,-44,-144
-89,-35,-182
-79,-21,-209
-68,-15,-209
-68,-9,-217
-89,-1,-198
-132,2,-157
-176,11,-125
-184,41,-92
-247,121,-25
-202,120,215
-200,3,511
-180,-115,511
-124,-135,511
-50,-44,511
-4,52,511
22,118,340
11,142,197
-2,130,123
-5,38,80
31,21,85
18,33,119
-7,58,216
72,22,223
155,-56,129
166,-85,116
140,-65,178
125,-31,285
114,1,436
80,16,511
56,-25,511
-112,-65,511
-256,-65,511
-321,-67,511
-330,-46,439
-280,-15,277
-196,-3,157
-138,-2,67
-111,11,21
-82,25,-16
-60,-8,-37
-50,-46,-38
-56,-65,-37
-64,-60,-28
-80,-40,-30
-91,-20,-42
-93,-15,-99
-75,-36,-192
-67,-67,-246
-92,-82,-226
-131,-59,-110
-220,12,-25
-272,104,296
-286,148,511
-284,273,511
-254,453,511
-230,463,511
-167,300,408
-52,250,226
-52,12,71
-2,18,106
-46,72,206
-92,147,289
-22,192,288
5,164,216
23,137,149
49,121,107
62,96,111
69,91,184
43,98,275
19,115,314
-10,121,337
-6,122,392
-79,97,511
-134,112,511
-186,81,511
-235,40,511
-215,15,434
-179,-10,300
-125,-24,207
-80,-45,122
-50,-69,50
-50,-87,10
-76,-112,-22
-78,-98,-38
-63,-62,-68
-56,-12,-98
-71,52,-116
-95,130,-78
-103,167,-59
-136,132,-20
-181,46,-2
-172,34,-48
-161,33,-40
-178,-10,228
-239,-60,511
-269,-31,511
-212,30,511
-119,83,511
-18,110,415
22,137,284
71,118,164
43,72,96
52,117,138
14,128,242
54,124,229
84,129,198
78,167,151
71,183,167
105,122,235
167,19,274
193,-63,346
172,-54,413
137,3,440
7,69,511
-74,136,511
-132,102,511
-204,28,511
-206,-9,511
-170,-22,311
-133,0,185
-92,22,130
-76,17,75
-81,-2,43
-86,-1,23
-91,-15,-2
-93,-35,-43
-85,-39,-77
-70,-35,-115
-57,-45,-138
-50,-22,-159
-78,-10,-135
-97,20,-53
-157,71,41
-208,131,136
-171,121,246
-133,22,398
-90,-34,483
-91,5,429
-129,76,388
-124,118,388
-129,104,367
-112,100,306
-86,77,208
-43,64,156
3,53,127
-4,96,283
-40,169,479
26,197,408
76,171,270
96,129,249
117,104,312
106,87,383
66,78,415
12,81,418
-52,71,511
-153,75,511
-202,54,511
-235,40,511
-233,32,508
-188,11,335
-124,2,184
-78,3,89
-34,-2,21
-32,-3,-16
-57,-12,-3
-77,-11,35
-83,-6,54
-82,-2,10
-75,22,-41
-54,51,-70
-47,50,-68
-75,29,-47
-123,13,16
-101,12,77
-115,38,45
-98,46,51
-53,53,113
-62,38,294
-79,6,475
-80,8,511
-74,26,492
-59,54,393
-65,79,258
-83,115,204
-74,121,161
-14,69,176
34,27,190
61,56,217
60,116,231
68,152,224
83,153,259
88,134,305
96,99,326
114,62,317
97,17,325
94,-32,380
67,-68,511
-12,-29,511
-98,22,511
-196,53,511
-235,65,511
-201,62,414
-139,35,293
-103,-5,213
-81,-23,157
-64,-23,124
-70,-21,108
-101,-17,123
-99,-24,95
-103,-31,43
-133,-20,32
-143,-5,-16
-147,16,-62
-128,34,-74
-131,19,-20
-159,3,48
-159,13,89
-102,2,132
-22,-38,143
-50,-29,315
-113,0,511
-65,0,511
8,-31,351
69,-28,258
70,0,315
109,11,329
73,65,320
96,39,234
135,-2,168
109,-20,138
131,-12,123
119,23,164
144,29,140
148,33,142
110,39,137
78,85,155
63,112,247
108,74,386
102,27,511
42,33,511
-46,-23,511
-158,-44,511
-168,-47,511
-154,-48,403
-116,-43,255
-76,-38,185
-61,-50,150
-53,-53,117
-49,-43,82
-50,-35,38
-57,-18,-6
-62,3,-38
-69,18,-72
-85,38,-104
-113,32,-116
-131,1,-108
-135,-44,-95
-126,-87,-76
-158,-88,-31
-240,-31,43
-250,81,170
-235,46,336
-202,-120,435
-208,-151,511
-136,-18,511
-63,134,511
-30,217,438
-31,219,329
-8,128,297
4,70,292
31,68,318
67,91,220
112,125,190
145,108,203
159,62,198
187,36,150
170,9,174
138,-24,264
82,-30,287
119,-43,243
126,-99,325
-3,-60,511
-109,-22,511
-161,-33,511
-178,-76,511
-173,-90,416
-154,-59,262
-121,-5,178
-108,29,207
-70,18,241
-52,6,189
-64,8,103
-79,8,54
-100,17,-14
-101,42,-89
-77,52,-150
-58,17,-168
-37,-34,-144
-66,-77,-75
-100,-61,15
-144,5,130
-179,49,287
-135,71,458
-79,75,475
