X,Y,Z
-277,-313,243
-201,-193,82
-110,-121,36
-54,-88,14
-48,-54,-19
-40,-6,-51
-57,27,-77
-77,1,-93
-75,-26,-95
-56,-10,-105
-39,29,-131
-43,62,-167
-47,62,-167
-54,1,-148
-62,-67,-137
-86,-122,-65
-185,-119,71
-381,-176,226
-36,4,-222
-33,15,-260
-16,-14,-258
-17,-43,-210
-27,-20,-132
-110,19,-57
-263,-23,172
-480,-77,490
-512,-246,511
-512,-375,511
-473,-256,511
-323,-86,478
-170,-5,313
-127,1,219
-68,27,177
6,48,154
20,19,120
20,-20,102
55,-27,92
94,-20,83
112,-17,60
128,14,33
165,32,26
159,11,48
97,-27,115
21,-62,267
20,-59,433
-26,-114,511
-193,-278,511
-363,-461,511
-388,-512,511
-343,-463,511
-277,-313,243
-201,-193,82
-110,-121,36
-54,-88,14
-48,-54,-19
-40,-6,-51
-57,27,-77
-77,1,-93
-75,-26,-95
-56,-10,-105
-39,29,-131
-43,62,-167
-47,62,-167
-54,1,-148
-62,-67,-137
-86,-122,-65
-185,-119,71
-381,-176,226
-459,-234,469
-512,-476,511
-510,-512,511
-326,-416,511
-242,-133,350
-122,20,179
-63,58,145
-56,74,148
-86,87,199
-77,99,235
1,92,214
16,19,151
47,3,115
106,18,96
110,13,70
108,14,53
119,-9,37
100,-39,50
115,-34,113
125,-75,211
174,-113,300
51,-241,431
-229,-388,511
-373,-512,511
-372,-512,511
-36,4,-222
-33,15,-260
-16,-14,-258
-17,-43,-210
-27,-20,-132
-110,19,-57
-263,-23,172
-480,-77,490
-512,-246,511
-512,-375,511
-473,-256,511
-323,-86,478
-170,-5,313
-127,1,219
-68,27,177
6,48,154
20,19,120
20,-20,102
55,-27,92
94,-20,83
112,-17,60
128,14,33
165,32,26
159,11,48
97,-27,115
21,-62,267
20,-59,433
-26,-114,511
-193,-278,511
-363,-461,511
-388,-512,511
-343,-463,511
-277,-313,243
-201,-193,82
-110,-121,36
-54,-88,14
-48,-54,-19
-40,-6,-51
-57,27,-77
-77,1,-93
-75,-26,-95
-56,-10,-105
-39,29,-131
-43,62,-167
-47,62,-167
-54,1,-148
-62,-67,-137
-86,-122,-65
-185,-119,71
-381,-176,226
-459,-234,469
-512,-476,511
-510,-512,511
-326,-416,511
-242,-133,350
-122,20,179
-63,58,145
-56,74,148
-86,87,199
-77,99,235
1,92,214
16,19,151
47,3,115
106,18,96
110,13,70
108,14,53
119,-9,37
100,-39,50
115,-34,113
125,-75,211
174,-113,300
51,-241,431
-229,-388,511
-373,-512,511
-372,-512,511
-347,-456,473
-255,-301,213
-184,-208,64
-122,-143,15
-100,-150,23
-50,-138,2
-53,-113,-23
-42,-56,-36
-54,-8,-57
-43,-9,-74
-10,-35,-75
7,-53,-62
6,-51,-17
-22,-65,41
-32,-67,107
-5,-73,177
-49,-180,310
-203,-323,502
-471,-430,479
-512,-269,316
-396,20,110
-196,198,99
-98,193,157
-70,54,141
-17,-8,140
30,2,177
53,21,160
1,15,161
-30,-16,189
5,-26,211
69,-16,212
153,-24,210
180,-76,189
131,-120,165
74,-144,198
-12,-190,352
-46,-302,441
-120,-489,457
-200,-512,454
-315,-512,442
-337,-435,405
-286,-399,316
-195,-299,251
-163,-225,212
-133,-204,154
-95,-185,146
-72,-163,131
-28,-105,102
12,-67,60
43,-50,11
30,2,177
53,21,160
1,15,161
-30,-16,189
5,-26,211
69,-16,212
153,-24,210
180,-76,189
131,-120,165
74,-144,198
-12,-190,352
-46,-302,441
-120,-489,457
-200,-512,454
-315,-512,442
