X,Y,Z
-5,25,58
-16,20,49
-40,26,54
-31,34,68
-20,31,74
-48,25,62
-66,14,53
-65,5,58
-58,-1,71
-70,-8,76
-75,-17,76
-80,-18,58
-83,-16,38
-78,-15,27
-71,-20,28
-46,-23,41
-7,-27,56
31,-24,66
58,-20,68
73,-12,65
84,-1,60
95,11,52
102,20,41
99,32,39
84,41,34
65,42,34
41,33,28
14,21,18
-3,6,7
-25,-6,2
-49,-20,-1
-68,-27,0
-69,-33,7
-48,-37,15
-27,-38,13
-41,-33,4
-37,-21,-2
-23,-8,1
-7,-2,0
9,-1,-3
8,5,-3
-13,22,-10
-40,41,-18
-45,54,-11
-22,51,2
3,40,26
24,44,44
49,58,49
63,65,35
76,66,25
87,65,26
90,59,32
89,54,36
85,50,38
76,47,42
64,48,44
57,47,47
41,51,51
30,58,42
23,63,33
9,66,29
-8,62,33
-24,50,46
-36,30,54
-73,8,48
-107,-17,51
-113,-46,70
-100,-55,86
-76,-42,93
-75,-16,82
-80,10,64
-66,29,48
-56,36,35
-50,31,32
-44,16,37
-29,1,49
-1,-6,56
30,-6,64
56,-2,69
74,3,73
86,6,65
90,6,53
82,3,39
74,3,25
63,0,15
49,-13,13
30,-33,33
13,-50,40
-5,-55,29
-23,-40,10
-29,-17,-3
-27,0,-11
-20,3,-9
-19,10,3
-37,11,9
-29,8,29
0,5,46
19,2,53
23,10,58
-12,26,63
-49,49,46
-45,62,35
-61,59,24
-49,46,8
-38,28,8
-14,14,12
11,10,17
38,19,19
64,31,17
90,38,17
109,38,21
121,36,28
127,35,32
127,36,34
122,36,32
107,31,27
81,26,24
60,22,22
37,23,25
3,22,27
-25,18,30
-46,16,38
-62,15,54
-69,14,70
-91,16,80
-137,17,85
-162,19,103
-142,23,131
-92,29,155
-69,34,159
-58,41,138
-58,44,107
-50,39,64
-43,25,27
-21,6,-2
2,-12,-23
25,-25,-23
50,-33,-9
67,-28,8
80,-14,28
86,-3,42
89,0,52
83,1,63
72,1,70
60,3,75
43,5,80
27,10,80
14,17,74
11,21,61
10,22,43
2,17,23
-3,11,5
-9,10,-4
-14,8,-9
-11,8,-5
3,4,10
17,7,23
-9,16,4
-14,21,-15
-8,15,-20
15,5,-6
29,-7,7
6,-9,9
-30,4,2
-64,17,-10
-74,24,-10
-69,18,-3
-55,9,5
-28,4,11
2,8,14
34,22,12
62,34,16
81,37,22
92,35,24
97,33,23
94,33,30
88,34,43
78,33,52
61,24,59
66,30,60
23,19,69
29,20,77
13,40,90
-6,48,108
-29,52,137
-65,36,130
-77,8,128
-61,-3,144
-60,0,131
-85,6,105
-63,22,83
-52,41,76
-34,43,73
-23,36,74
-23,24,71
-25,22,66
-47,23,68
-20,20,55
-28,4,61
-20,-23,71
-1,-42,83
19,-49,91
39,-43,90
50,-28,86
54,-9,68
49,5,52
49,16,41
53,26,35
57,31,30
46,30,27
27,23,28
11,14,32
6,0,26
0,-8,15
-6,-6,11
-9,-3,6
-8,1,-1
1,14,0
-5,28,10
-32,40,15
-44,42,9
-35,29,12
-16,12,33
-2,10,58
8,23,70
-2,45,74
-21,65,74
-31,77,65
-28,82,63
-10,77,61
9,68,59
38,57,52
59,59,43
82,57,39
99,52,44
105,46,52
107,37,56
105,33,56
103,33,55
104,23,56
71,18,63
49,41,90
38,66,103
41,76,95
24,78,89
2,77,93
-26,74,103
-40,71,104
-34,62,99
-23,49,89
-49,36,71
-65,24,59
-61,15,45
-56,16,39
-42,26,51
-47,32,64
-64,33,73
-69,24,80
-59,14,89
-48,9,94
-32,8,96
-14,19,96
-9,28,75
22,28,61
62,29,59
87,38,69
101,44,78
98,48,76
95,49,67
93,42,54
81,29,39
59,15,36
34,7,41
16,6,51
3,1,45
-6,1,39
-15,2,28
-21,7,25
-30,12,31
-28,13,42
-29,13,41
-41,19,36
-34,23,34
-24,25,31
-5,28,33
11,23,33
3,32,27
-14,45,19
-30,57,14
-22,60,11
-19,55,14
4,50,15
37,43,16
63,43,23
85,52,32
104,65,36
114,68,40
115,67,47
110,61,48
92,58,52
69,56,58
53,51,64
43,46,68
38,44,68
30,44,69
17,46,75
-1,50,79
-8,58,87
-18,67,91
-21,66,91
-18,58,89
-51,49,73
-71,41,67
-87,32,63
-88,27,70
-84,22,82
-90,4,90
-101,-9,92
-93,-3,95
-76,-12,91
-59,-19,83
-41,-23,74
-12,-24,72
25,-10,74
57,7,71
79,20,66
96,30,58
98,36,50
89,35,51
71,25,54
60,15,51
51,14,41
44,14,25
40,6,8
25,-8,3
14,-16,12
4,-16,16
-6,-9,11
-18,0,9
-19,-3,6
-11,-15,12
-11,-24,10
-17,-21,-15
-10,-5,-46
-1,19,-53
10,24,-48
-10,4,-23
-58,1,-5
-83,19,2
-105,25,47
-102,31,71
-70,40,52
-27,46,23
15,51,19
48,60,23
74,68,32
96,60,32
108,44,29
109,31,33
97,25,42
86,28,49
79,37,62
69,45,70
57,51,96
41,49,99
16,58,100
-4,71,96
-16,80,101
-39,82,108
-56,78,118
-43,75,107
-21,64,83
-30,46,61
-45,31,53
-57,15,57
-53,2,63
-48,-3,67
-58,-6,65
-66,-7,63
-63,-5,63
-52,-2,62
-38,-1,62
-22,-2,60
8,-2,58
26,1,55
48,5,59
70,5,58
90,4,50
96,0,41
86,8,38
77,14,45
50,15,61
35,20,79
23,22,85
14,23,53
29,14,31
13,5,15
-3,7,-3
-23,14,-3
-38,20,2
-33,19,11
-11,16,17
-21,23,11
-26,31,10
-18,36,16
-8,35,27
-3,24,31
-18,20,25
-48,31,8
-63,45,11
-49,54,29
